排名,学校名称,省市,类型,总分,学校性质
医54,长治医学院,山西,医药,,
433,宁德师范学院,福建,师范,117.7,
政26,湖北警官学院,湖北,政法,,
434,南阳理工学院,河南,理工,117.0,
434,武夷学院,福建,综合,117.0,
436,黄淮学院,河南,师范,116.8,
437,宜春学院,江西,综合,116.6,
438,吉林化工学院,吉林,理工,116.5,
439,许昌学院,河南,理工,116.2,
医55,吉林医药学院,吉林,医药,,
440,韩山师范学院,广东,师范,116.0,
440,上饶师范学院,江西,师范,116.0,
政27,湖南警察学院,湖南,政法,,
442,宝鸡文理学院,陕西,师范,115.9,
442,重庆第二师范学院,重庆,师范,115.9,
442,乐山师范学院,四川,师范,115.9,
445,淮南师范学院,安徽,师范,115.8,
445,温州理工学院,浙江,理工,115.8,
447,安阳师范学院,河南,师范,115.7,
448,西昌学院,四川,综合,115.5,
449,广州航海学院,广东,理工,115.3,
450,河南城建学院,河南,理工,115.1,
451,齐鲁师范学院,山东,师范,115.0,
452,湖州学院,浙江,师范,114.8,
453,天水师范学院,甘肃,师范,114.6,
454,湖南人文科技学院,湖南,师范,114.4,
454,唐山师范学院,河北,师范,114.4,
456,商丘师范学院,河南,师范,114.3,
457,成都工业学院,四川,理工,114.2,
457,六盘水师范学院,贵州,师范,114.2,
财45,武汉商学院,湖北,财经,,
459,巢湖学院,安徽,师范,114.0,
460,贺州学院,广西,综合,113.9,
460,内蒙古科技大学包头师范学院,内蒙古,综合,113.9,
460,平顶山学院,河南,师范,113.9,
463,南昌师范学院,江西,师范,113.6,
463,渭南师范学院,陕西,师范,113.6,
465,宁夏师范大学,宁夏,师范,113.2,
体13,吉林体育学院,吉林,体育,,
466,湖南工学院,湖南,理工,113.1,
467,鞍山师范学院,辽宁,师范,112.8,
468,哈尔滨学院,黑龙江,综合,112.6,
468,湖北工程学院,湖北,综合,112.6,
医56,南昌医学院,江西,医药,,
政28,山东警察学院,山东,政法,,
政29,上海公安学院,上海,政法,,
470,吉林工程技术师范学院,吉林,师范,112.5,
471,廊坊师范学院,河北,师范,112.3,
472,西安航空学院,陕西,理工,112.2,
473,信阳农林学院,河南,农业,111.8,
474,山西大同大学,山西,综合,111.6,
475,黄山学院,安徽,师范,111.4,
475,嘉应学院,广东,综合,111.4,
政30,江西警察学院,江西,政法,,
477,福建技术师范学院,福建,师范,111.1,
478,四川旅游学院,四川,综合,110.9,
478,咸阳师范学院,陕西,师范,110.9,
480,南京特殊教育师范学院,江苏,师范,110.8,
480,宿州学院,安徽,师范,110.8,
482,凯里学院,贵州,综合,110.5,
483,海南热带海洋学院,海南,综合,110.4,
483,九江学院,江西,综合,110.4,
485,山东管理学院,山东,综合,110.0,
486,玉溪师范学院,云南,师范,109.8,
487,安阳工学院,河南,理工,109.7,
487,新乡学院,河南,理工,109.7,
财46,铜陵学院,安徽,财经,,
489,河西学院,甘肃,综合,109.6,
490,太原工业学院,山西,理工,109.5,
491,山东女子学院,山东,综合,109.1,
491,伊犁师范大学,新疆,师范,109.1,
493,河北建筑工程学院,河北,理工,108.7,
494,赤峰学院,内蒙古,综合,108.1,
495,琼台师范学院,海南,师范,107.8,
496,陇东学院,甘肃,师范,107.7,
496,苏州城市学院,江苏,综合,107.7,
政31,贵州警察学院,贵州,政法,,
498,营口理工学院,辽宁,理工,107.6,
499,大庆师范学院,黑龙江,综合,107.0,
500,华北科技学院,河北,理工,106.8,
500+,阿坝师范学院,四川,师范,,
500+,安康学院,陕西,综合,,
500+,安顺学院,贵州,综合,,
500+,白城师范学院,吉林,师范,,
500+,百色学院,广西,综合,,
500+,保定学院,河北,师范,,
500+,保山学院,云南,师范,,
500+,蚌埠学院,安徽,理工,,
500+,亳州学院,安徽,师范,,
500+,沧州师范学院,河北,师范,,
500+,昌吉学院,新疆,师范,,
500+,长沙师范学院,湖南,师范,,
500+,长治学院,山西,师范,,
500+,池州学院,安徽,师范,,
500+,楚雄师范学院,云南,师范,,
500+,滇西科技师范学院,云南,师范,,
500+,滇西应用技术大学,云南,综合,,
500+,鄂尔多斯应用技术学院,内蒙古,综合,,
500+,赣东学院,江西,理工,,
500+,赣南科技学院,江西,理工,,
500+,甘肃民族师范学院,甘肃,师范,,
500+,广西科技师范学院,广西,师范,,
500+,广西民族师范学院,广西,师范,,
500+,广西职业师范学院,广西,综合,,
500+,桂林航天工业学院,广西,理工,,
500+,贵州工程应用技术学院,贵州,师范,,
500+,邯郸学院,河北,师范,,
500+,汉江师范学院,湖北,师范,,
500+,河北环境工程学院,河北,综合,,
500+,河北民族师范学院,河北,师范,,
500+,河北水利电力学院,河北,理工,,
500+,河池学院,广西,综合,,
500+,合肥理工学院,安徽,综合,,
500+,黑河学院,黑龙江,综合,,
500+,黑龙江工业学院,黑龙江,理工,,
500+,河南工学院,河南,理工,,
500+,河南牧业经济学院,河南,农业,,
500+,衡水学院,河北,师范,,
500+,河套学院,内蒙古,综合,,
500+,菏泽学院,山东,综合,,
500+,红河学院,云南,综合,,
500+,呼伦贝尔学院,内蒙古,综合,,
500+,吉林农业科技学院,吉林,农业,,
500+,荆楚理工学院,湖北,理工,,
500+,景德镇学院,江西,综合,,
500+,集宁师范学院,内蒙古,师范,,
500+,济宁学院,山东,师范,,
500+,晋中学院,山西,师范,,
500+,喀什大学,新疆,师范,,
500+,兰州城市学院,甘肃,综合,,
500+,兰州工业学院,甘肃,理工,,
500+,兰州文理学院,甘肃,综合,,
500+,辽东学院,辽宁,综合,,
500+,辽宁科技学院,辽宁,理工,,
500+,吕梁学院,山西,师范,,
500+,萍乡学院,江西,综合,,
500+,普洱学院,云南,师范,,
500+,山东农业工程学院,山东,综合,,
500+,山东青年政治学院,山东,综合,,
500+,山东石油化工学院,山东,理工,,
500+,商洛学院,陕西,综合,,
500+,山西电子科技学院,山西,理工,,
500+,山西工程技术学院,山西,理工,,
500+,山西工学院,山西,理工,,
500+,山西科技学院,山西,理工,,
500+,山西能源学院,山西,综合,,
500+,陕西学前师范学院,陕西,师范,,
500+,四川民族学院,四川,师范,,
500+,四川文理学院,四川,综合,,
500+,绥化学院,黑龙江,综合,,
500+,太原学院,山西,理工,,
500+,泰州学院,江苏,师范,,
500+,唐山学院,河北,理工,,
500+,天津中德应用技术大学,天津,理工,,
500+,文山学院,云南,师范,,
500+,梧州学院,广西,综合,,
500+,邢台学院,河北,师范,,
500+,兴义民族师范学院,贵州,师范,,
500+,新疆工程学院,新疆,理工,,
500+,新疆理工学院,新疆,综合,,
500+,新疆政法学院,新疆,综合,,
500+,新余学院,江西,综合,,
500+,忻州师范学院,山西,师范,,
500+,运城学院,山西,师范,,
500+,豫章师范学院,江西,师范,,
500+,张家口学院,河北,综合,,
500+,昭通学院,云南,师范,,
500+,郑州工程技术学院,河南,理工,,
500+,郑州师范学院,河南,师范,,
财46+,福建商学院,福建,财经,,
医56+,甘肃医学院,甘肃,医药,,
政31+,广西警察学院,广西,政法,,
财46+,桂林旅游学院,广西,财经,,
财46+,贵州商学院,贵州,财经,,
财46+,哈尔滨金融学院,黑龙江,财经,,
体13+,河北体育学院,河北,体育,,
财46+,河南财政金融学院,河南,财经,,
体13+,河南体育学院,河南,体育,,
民13+,呼和浩特民族学院,内蒙古,民族,,
语14+,湖南女子学院,湖南,语言,,
医56+,湖南医药学院,湖南,医药,,
财46+,吉林工商学院,吉林,财经,,
政31+,山西警察学院,山西,政法,,
医56+,新疆第二医学院,新疆,医药,,
政31+,新疆警察学院,新疆,政法,,
财46+,新疆科技学院,新疆,财经,,
