排名,学校名称,省市,类型,总分,学校性质
中医7,成都中医药大学,四川,中医药,,双一流
122,东北农业大学,黑龙江,农业,236.7,双一流/211
122,西南石油大学,四川,理工,236.7,双一流
124,上海师范大学,上海,师范,236.6,
合作7,北京师范大学-香港浸会大学联合国际学院,广东,综合,,
125,福建农林大学,福建,农业,235.8,
126,温州大学,浙江,综合,233.1,
127,长沙理工大学,湖南,理工,231.7,
127,新疆大学,新疆,综合,231.7,双一流/211
语6,广东外语外贸大学,广东,语言,,
财10,南京财经大学,江苏,财经,,
129,河北大学,河北,综合,230.9,
财11,北京工商大学,北京,财经,,
130,山东科技大学,山东,理工,229.9,
131,辽宁大学,辽宁,综合,228.3,双一流/211
132,成都理工大学,四川,理工,228.1,双一流
体1,上海体育大学,上海,体育,,双一流
财12,浙江财经大学,浙江,财经,,
133,山东农业大学,山东,农业,227.2,
134,宁夏大学,宁夏,综合,222.8,双一流/211
135,华侨大学,福建,综合,222.5,
135,陕西科技大学,陕西,理工,222.5,
医15,安徽医科大学,安徽,医药,,
医16,山西医科大学,山西,医药,,
137,天津工业大学,天津,理工,222.1,双一流
138,长春理工大学,吉林,理工,221.6,
139,安徽师范大学,安徽,师范,219.7,
政4,中国人民公安大学,北京,政法,,双一流
140,石河子大学,新疆,综合,218.8,双一流/211
财13,山东财经大学,山东,财经,,
141,四川农业大学,四川,农业,218.4,双一流/211
142,天津师范大学,天津,师范,216.7,
财14,南京审计大学,江苏,财经,,
143,上海海洋大学,上海,农业,216.2,双一流
144,江苏科技大学,江苏,理工,215.7,
145,齐鲁工业大学,山东,理工,215.2,
财15,上海对外经贸大学,上海,财经,,
146,中国计量大学,浙江,理工,214.1,
147,黑龙江大学,黑龙江,综合,213.9,
医17,广西医科大学,广西,医药,,
148,安徽农业大学,安徽,农业,213.7,
148,湖北工业大学,湖北,理工,213.7,
民2,中南民族大学,湖北,民族,,
150,浙江农林大学,浙江,林业,213.3,
151,南通大学,江苏,综合,212.7,
合作8,温州肯恩大学,浙江,综合,,
152,河南农业大学,河南,农业,211.0,
153,重庆邮电大学,重庆,理工,210.2,
154,常州大学,江苏,理工,209.2,
155,广西师范大学,广西,师范,208.3,
156,湖南农业大学,湖南,农业,208.0,
157,曲阜师范大学,山东,师范,207.2,
158,吉林农业大学,吉林,农业,206.8,
医18,徐州医科大学,江苏,医药,,
159,武汉纺织大学,湖北,理工,206.7,
160,武汉工程大学,湖北,理工,206.2,
161,河南师范大学,河南,师范,205.7,
162,天津科技大学,天津,理工,205.5,
163,辽宁师范大学,辽宁,师范,205.2,
医19,山东第一医科大学,山东,医药,,
164,江苏师范大学,江苏,师范,204.9,
中医8,湖南中医药大学,湖南,中医药,,
165,北京建筑大学,北京,理工,204.7,
166,汕头大学,广东,综合,204.6,
167,集美大学,福建,综合,204.4,
168,青岛科技大学,山东,理工,204.2,
168,三峡大学,湖北,综合,204.2,
168,延边大学,吉林,综合,204.2,双一流/211
中医9,山东中医药大学,山东,中医药,,
医20,沈阳药科大学,辽宁,医药,,
171,沈阳农业大学,辽宁,农业,204.0,
172,河南科技大学,河南,综合,203.8,
财16,天津财经大学,天津,财经,,
173,中北大学,山西,理工,202.1,
174,济南大学,山东,综合,201.4,
175,华东交通大学,江西,理工,200.5,
176,上海海事大学,上海,综合,200.4,
中医10,辽宁中医药大学,辽宁,中医药,,
177,南昌航空大学,江西,理工,200.2,
178,河北师范大学,河北,师范,198.5,
179,西北师范大学,甘肃,师范,197.6,
中医11,长春中医药大学,吉林,中医药,,
中医11,河南中医药大学,河南,中医药,,
180,天津理工大学,天津,理工,195.8,
体2,北京体育大学,北京,体育,,双一流/211
医21,宁夏医科大学,宁夏,医药,,
政5,西北政法大学,陕西,政法,,
181,湖南科技大学,湖南,综合,194.7,
182,国际关系学院,北京,综合,193.9,
183,沈阳航空航天大学,辽宁,理工,193.7,
184,河南理工大学,河南,理工,192.7,
185,长江大学,湖北,综合,191.8,
186,上海电力大学,上海,理工,190.6,
187,南华大学,湖南,综合,190.3,
187,沈阳工业大学,辽宁,理工,190.3,
189,重庆交通大学,重庆,理工,190.0,
190,安徽工业大学,安徽,理工,189.3,
190,江西理工大学,江西,理工,189.3,
医22,西南医科大学,四川,医药,,
192,西安科技大学,陕西,理工,189.2,
193,安徽理工大学,安徽,理工,188.8,
194,山东理工大学,山东,理工,188.6,
195,西藏大学,西藏,综合,188.1,双一流/211
196,江西农业大学,江西,农业,187.8,
197,河北农业大学,河北,农业,187.3,
财17,安徽财经大学,安徽,财经,,
198,青海大学,青海,综合,186.8,双一流/211
199,兰州理工大学,甘肃,理工,186.5,
200,西安邮电大学,陕西,理工,185.4,
中医13,安徽中医药大学,安徽,中医药,,
医23,新乡医学院,河南,医药,,
201,桂林电子科技大学,广西,理工,184.6,
201,四川师范大学,四川,师范,184.6,
203,云南师范大学,云南,师范,183.6,
语7,北京第二外国语学院,北京,语言,,
204,北京信息科技大学,北京,理工,183.2,
中医14,黑龙江中医药大学,黑龙江,中医药,,
205,烟台大学,山东,综合,183.1,
医24,昆明医科大学,云南,医药,,
206,苏州科技大学,江苏,理工,182.8,
207,中南林业科技大学,湖南,林业,182.4,
208,西南科技大学,四川,理工,181.4,
医25,新疆医科大学,新疆,医药,,
209,兰州交通大学,甘肃,理工,181.3,
210,青岛理工大学,山东,理工,181.1,
医26,滨州医学院,山东,医药,,
中医15,江西中医药大学,江西,中医药,,
211,湖州师范学院,浙江,师范,180.7,
民3,西南民族大学,四川,民族,,
212,西安工业大学,陕西,理工,178.7,
政6,上海政法学院,上海,政法,,
213,哈尔滨师范大学,黑龙江,师范,177.7,
214,东华理工大学,江西,理工,177.4,
215,北方工业大学,北京,理工,177.3,
216,北京电子科技学院,北京,理工,176.7,
中医16,湖北中医药大学,湖北,中医药,,
217,东北石油大学,黑龙江,理工,176.5,
218,重庆师范大学,重庆,师范,176.0,
财18,山西财经大学,山西,财经,,
219,沈阳建筑大学,辽宁,理工,175.7,
医27,山东第二医科大学,山东,医药,,
